Rk,Player,Nation,Pos,Primary_Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG
83,Mohamed Ali Cho,fr FRA,FWMF,FW,Nice,fr Ligue 1,21,2004,18.5,1,0,0,14,32,5,39,4,9,0
84,Alisson,br BRA,GK,GK,Liverpool,eng Premier League,32,1992,26,1,0,0,1,7,0,0,0,0,0
85,Jim Allevinah,ga GAB,MF,MF,Angers,fr Ligue 1,30,1995,1.5,0,0,0,0,4,1,1,0,1,0
86,Max Alleyne,eng ENG,DF,DF,Manchester City,eng Premier League,20,2005,1.5,0,0,0,0,0,0,0,3,3,0
87,Thiago Almada,ar ARG,MFFW,MF,Atlético Madrid,es La Liga,24,2001,14.6,2,1,0,13,16,2,40,9,18,0
88,André Almeida,pt POR,MF,MF,Valencia,es La Liga,25,2000,11.3,0,0,0,12,22,0,65,8,11,0
89,Pontus Almqvist,se SWE,MF,MF,Parma,it Serie A,26,1999,5.1,0,0,0,6,14,1,7,6,6,0
90,Marcos Alonso,es ESP,DF,DF,Celta Vigo,es La Liga,34,1990,30.8,5,0,0,23,20,0,19,30,24,0
91,Adrià Altimira,es ESP,DFMF,DF,Villarreal,es La Liga,24,2001,0.1,0,0,0,0,0,0,0,0,1,0
92,Sergi Altimira,es ESP,MF,MF,Real Betis,es La Liga,23,2001,13.2,3,0,0,14,22,0,3,20,36,0
93,Carlos Álvarez,es ESP,MF,MF,Levante,es La Liga,21,2003,21,3,0,0,22,49,2,54,13,13,0
94,Hugo Álvarez,es ESP,FWMF,FW,Celta Vigo,es La Liga,22,2003,14.9,2,0,0,16,17,2,23,10,9,0
95,Julián Álvarez,ar ARG,FW,FW,Atlético Madrid,es La Liga,25,2000,21.1,2,0,0,14,18,2,86,3,13,0
96,Yeray Álvarez,es ESP,DF,DF,Athletic Club,es La Liga,30,1995,5.7,0,0,0,3,5,0,2,14,1,0
97,Skelly Alvero,fr FRA,MF,MF,Werder Bremen,de Bundesliga,23,2002,0.4,0,0,0,0,1,0,0,1,0,0
98,Alysson,br BRA,MF,MF,Aston Villa,eng Premier League,19,2006,0.5,0,0,0,0,1,0,2,1,0,0
99,Ayoube Amaimouni,ma MAR,MFFW,MF,Frankfurt,de Bundesliga,20,2004,6.5,1,0,0,8,10,6,30,2,5,0
100,Jaydon Amauri Banel,nl NED,FWMF,FW,Burnley,eng Premier League,20,2004,0.1,0,0,0,0,1,0,0,0,0,0
101,Giuseppe Ambrosino,it ITA,FW,FW,Napoli,it Serie A,21,2003,0.4,0,0,0,1,1,0,0,0,0,0
102,Zeki Amdouni,ch SUI,FWMF,FW,Burnley,eng Premier League,24,2000,0.8,0,0,0,1,1,0,0,0,0,0
103,Aurèle Amenda,ch SUI,DF,DF,Frankfurt,de Bundesliga,22,2003,18.6,5,0,0,22,13,0,6,29,12,1
104,Kelvin Amian,fr FRA,DF,DF,Nantes,fr Ligue 1,27,1998,21.8,3,0,0,23,18,2,29,8,18,0
105,Michael Amir Murillo,pa PAN,DFMF,DF,Marseille,fr Ligue 1,29,1996,11,4,0,0,22,16,2,28,6,13,0
106,Nadiem Amiri,de GER,MF,MF,Mainz 05,de Bundesliga,28,1996,23.1,6,0,0,20,26,3,136,19,18,0
107,Samuel Amo-Ameyaw,eng ENG,MFDF,MF,Strasbourg,fr Ligue 1,19,2006,11.6,2,0,0,15,26,2,50,3,12,0
108,Amorim,br BRA,MF,MF,Genoa,it Serie A,20,2005,6.1,1,0,0,7,18,1,16,7,6,0
109,Mathis Amougou,fr FRA,MF,MF,Strasbourg,fr Ligue 1,19,2006,4.5,1,0,0,4,4,0,2,2,11,0
110,Mohamed Amoura,dz ALG,FWMF,FW,Wolfsburg,de Bundesliga,25,2000,21.3,2,0,0,21,11,12,34,7,22,0
111,Ethan Ampadu,wls WAL,MF,MF,Leeds United,eng Premier League,24,2000,34.7,10,0,0,50,36,0,25,50,46,0
112,Sofyan Amrabat,ma MAR,MF,MF,Real Betis,es La Liga,28,1996,14.4,4,0,0,22,19,0,6,11,13,0
113,Joachim Andersen,dk DEN,DF,DF,Fulham,eng Premier League,29,1996,31.9,7,1,0,30,13,0,15,34,26,0
114,Elliot Anderson,eng ENG,MF,MF,Nottingham,eng Premier League,22,2002,37,8,0,0,57,80,2,175,41,60,0
115,Tomoya Ando,jp JPN,DF,DF,St Pauli,de Bundesliga,26,1999,14,3,0,0,12,12,0,6,14,23,0
116,Nícolas Andrade,br BRA,GK,GK,Pisa,it Serie A,37,1988,6,0,0,0,0,3,0,0,0,0,0
117,André,br BRA,MF,MF,Wolves,eng Premier League,24,2001,30.7,12,0,0,47,43,0,40,25,42,0
118,Benjamin André,fr FRA,MF,MF,Lille,fr Ligue 1,34,1990,25.9,9,0,0,35,44,3,22,31,40,0
119,Robert Andrich,de GER,DFMF,DF,Leverkusen,de Bundesliga,30,1994,28.3,6,1,1,30,22,0,13,33,30,0
120,Manuel Ángel,es ESP,MF,MF,Real Madrid,es La Liga,21,2004,1.1,0,0,0,2,4,0,0,0,3,1
121,Miguel Ángel Rubio,es ESP,DF,DF,Espanyol,es La Liga,27,1998,2.3,0,0,0,1,1,0,0,1,1,0
